Region,Pct_White,Pct_Minority,Diversity_Index,Diversity_Rank
Midwest,72.0943834368493,27.905616563150705,0.4137675597261398,4.0
Northeast,62.28149343278743,37.718506567212565,0.4901358557689952,3.0
South,52.394141368342964,47.605858631657036,0.5513653300849752,2.0
West,47.78797966430803,52.21202033569197,0.5718387564904418,1.0
